code,name,strategy_industry,leader_score,industry_rank,price,float_cap,avg_turnover_60d,revenue,roe,em2016
002594,比亚迪,汽车,86.36,1,91.36,318537000000.0,3763930682.3066664,150225314000.0,1.65,交运设备-汽车-乘用车
000338,潍柴动力,汽车,75.45,2,27.02,133922000000.0,3069106761.2933335,62563208094.63,3.27,交运设备-汽车-汽车零部件
601766,中国中车,汽车,75.45,3,6.13,149129000000.0,1056282408.7,131682442000.0,4.54,交运设备-铁路设备-铁路车辆及动车组
600660,福耀玻璃,汽车,54.09,4,57.67,115511999999.99998,735505131.8833333,21971104612.0,10.34,交运设备-汽车-汽车零部件
600104,上汽集团,汽车,49.09,5,10.31,118516000000.00002,600115706.2333333,140417876491.41,1.01,交运设备-汽车-乘用车
601088,中国神华,煤炭钢铁,78.75,1,47.17,777882000000.0,1779081070.05,70397000000.0,2.4,化石能源-煤炭-煤炭开采洗选
601225,陕西煤业,煤炭钢铁,57.5,2,26.52,257111000000.0,1238931766.845,38953072382.69,4.21,化石能源-煤炭-煤炭开采洗选
601898,中煤能源,煤炭钢铁,55.0,3,15.08,138012000000.0,767313328.2833333,73136057000.0,4.95,化石能源-煤炭-煤炭开采洗选
600188,兖矿能源,煤炭钢铁,38.75,4,21.71,129421000000.0,1357227401.3,34588720000.0,3.84,化石能源-煤炭-煤炭开采洗选
600019,宝钢股份,煤炭钢铁,20.0,5,5.85,125272000000.0,604109249.1333333,160731484167.43,2.21,钢铁-钢铁-普钢
300750,宁德时代,电力设备,94.71,1,376.73,1604900000000.0,12667839264.420002,276916580000.0,12.08,电气设备-电源设备-储能设备
300014,亿纬锂能,电力设备,77.94,2,54.57,115305000000.0,3503244347.733333,45691465298.91,7.24,电气设备-电源设备-储能设备
300274,阳光电源,电力设备,74.12,3,109.59,173977000000.0,8389900931.466666,15560645284.03,4.81,电气设备-电源设备-太阳能
600089,特变电工,电力设备,66.18,4,19.0,96003000000.0,2558873469.9333334,56584684899.1,3.5807,电气设备-输变电设备-其他输变电设备
002028,思源电气,电力设备,59.71,5,169.6,103586999999.99998,2063705399.9166667,10795207710.32,9.01,电气设备-输变电设备-电气自控设备
688256,寒武纪,电子,84.38,1,1010.48,635444000000.0,1741401522981.8,5995573619.61,18.05,电子设备-半导体-集成电路
601138,工业富联,电子,82.38,2,60.15,1193622000000.0,11700635105.183332,557860645000.0,13.36,电子设备-消费电子设备-消费电子设备
688041,海光信息,电子,79.38,3,232.06,539385999999.99994,1004518913255.2167,9099020774.81,7.56,电子设备-半导体-集成电路
688012,中微公司,电子,78.25,4,354.0,333538000000.0,1082608760391.7833,6691287327.67,11.56,电子设备-半导体-集成电路
002475,立讯精密,电子,75.38,5,54.86,401854000000.0,10317447744.3,174504335921.25,8.76,电子设备-消费电子设备-消费电子设备
601857,中国石油,石油石化,71.67,1,11.19,1811908000000.0002,1778239812.75,736383000000.0,3.0,化石能源-石油天然气-石油天然气开采
600028,中国石化,石油石化,66.67,2,5.36,507872999999.99994,1363726152.4166667,1436561000000.0,3.06,化石能源-石油天然气-石油加工
600938,中国海油,石油石化,54.17,3,33.51,100195000000.0,1817392723.4916666,116079000000.0,4.77,化石能源-石油天然气-石油天然气开采
600346,恒力石化,石油石化,52.5,4,18.3,128816000000.00002,813294641.4166666,98257701611.02,10.29,化石能源-石油天然气-石油加工
002493,荣盛石化,石油石化,50.83,5,13.22,123768000000.0,747506320.9166666,129406713606.78,11.13,化石能源-石油天然气-石油加工
002415,海康威视,计算机,86.58,1,34.75,314352000000.0,3201381130.5833335,46822537847.07,9.17,信息技术-计算机硬件-PC、服务器及硬件
300059,东方财富,计算机,82.89,2,18.93,253517000000.0,7125171433.616667,10505339283.68,8.46,互联网-互联网金融-其他互联网金融
688111,金山办公,计算机,80.0,3,234.75,108927000000.0,250517697724.81668,3313262599.2,17.76,信息技术-计算机软件-基础软件
000938,紫光股份,计算机,79.21,4,35.1,100389000000.0,9671695852.058332,27984855967.39,5.21,信息技术-计算机软件-其他软件服务
000977,浪潮信息,计算机,78.95,5,74.11,108707000000.0,7461420365.9,35470325836.04,2.75,信息技术-计算机硬件-PC、服务器及硬件
300308,中际旭创,通信,92.0,1,846.0,939008000000.0,38231017186.833336,41777861795.03,37.62,信息技术-通信设备-通信传输设备
300502,新易盛,通信,82.0,2,400.87,502788000000.0,25604853269.039997,20909746962.2,34.86,信息技术-通信设备-通信传输设备
000063,中兴通讯,通信,64.0,3,33.42,134603000000.0,7629943288.963333,78025359000.0,3.65,信息技术-通信设备-通信传输设备
